address,addressnum,bbl,bin,boro,borocode,capacity,captype,cd,city,council,ct2010,ct2020,datasource,facdomain,facgroup,facname,facsubgrp,factype,latitude,longitude,nta2010,nta2020,opabbrev,opname,optype,overabbrev,overagency,overlevel,policeprct,schooldist,servarea,streetname,uid,xcoord,ycoord,zipcode,_ntacode,_ntaname
50-53 NEWTON ROAD,,0,0,QUEENS,4,0,,401,WOODSIDE,26,16300,16300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,WOODSIDE HOUSES CHILD HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.753465,-73.910857,QN70,QN0104,Non-public,NYC Health and Hospitals Corporation,Non-public,NYSDOH,NYS Department of Health,State,114,30,Regional,,713f408d591b3d25c72209c584184f0b,1008947.818,213796.8649,11377,QN70,Asto_ria
31-27 41 STREET,31-27,4006790030,4011183,QUEENS,4,0,,401,ASTORIA,22,15500,15500,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,THE MACKOOL EYE INSTITUTE LLC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.76009454,-73.91664737,QN70,QN0104,Non-public,The Mackool Eye Institute LLC,Non-public,NYSDOH,NYS Department of Health,State,114,30,Regional,41 STREET,29c2b4932f766865104178adcb3fdfaa,1007341.249,216210.6428,11103,QN70,Astorian
34-01 35 AVENUE,34-01,4006420005,4009611,QUEENS,4,0,,401,ASTORIA,26,5700,5700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ASTORIA DIALYSIS CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75715709,-73.92567534,QN70,QN0103,Non-public,"Newtown Dialysis Center, Inc",Non-public,NYSDOH,NYS Department of Health,State,114,30,Regional,35 AVENUE,c413c673ae10fe942fdd6e55ca3abdd3,1004841.132,215138.1828,11106,QN70,Astoria-p
50-53 NEWTOWN ROAD,50-53,4007360002,4430994,QUEENS,4,0,,401,WOODSIDE,26,16300,16300,nycha_communitycenters,HEALTH AND HUMAN SERVICES,HEALTH CARE,WOODSIDE,HOSPITALS AND CLINICS,NYCHA COMMUNITY CENTER - HEALTH CLINIC,40.7542157,-73.91048369,QN70,QN0104,NYCHA,NYC Housing Authority,Public,NYCHA,NYC Housing Authority,City,114,30,Regional,NEWTOWN ROAD,c648b18ab84a4e0581722e0bd6595740,1009050.966,214070.473,11377,QN70,Astoria
46-04 31 AVENUE,46-04,4007250022,4013196,QUEENS,4,0,,401,ASTORIA,26,15300,15300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,"NEW YORK SURGERY CENTER QUEENS, LLC",HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.75861207,-73.91213771,QN70,QN0104,Non-public,"New York Surgery Center Queens, LLC",Non-public,NYSDOH,NYS Department of Health,State,114,30,Regional,31 AVENUE,de8c9d22f329845c51faeb3029a86a1e,1008591.105,215671.7507,11103,QN70,Astoria
31-60 21 STREET,31-60,4005310059,4005831,QUEENS,4,0,,401,ASTORIA,22,7700,7700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PRIMARY CARE CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.76603943,-73.93134369,QN70,QN0102,Non-public,The Mount Sinai Hospital,Non-public,NYSDOH,NYS Department of Health,State,114,30,Regional,21 STREET,8424e71ae92634c5a5933938b7269bfa,1003268.219,218373.0272,11106,QN70,Asto-ria
"50 53 NEWTOWN ROAD WOODSIDE, NY",,4007360002,0,QUEENS,4,0,,401,WOODSIDE,26,16300,16300,hhc_hospitals,HEALTH AND HUMAN SERVICES,HEALTH CARE,WOODSIDE HOUSES CHILD HEALTH CLINIC,HOSPITALS AND CLINICS,CHILD HEALTH CENTER,40.754215,-73.910487,QN70,QN0104,NYCHHC,NYC Health and Hospitals Corporation,Public,NYSDOH,NYS Department of Health,State,114,30,Regional,,3427064832557e56c915bf7927b0e449,1009050.05,214070.2186,11377,QN70,Astoria//
174-15 HORACE HARDING EXPRESSWAY,174-15,4068880005,4148776,QUEENS,4,0,,411,FRESH MEADOWS,20,141700,141700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NYP/QUEENS EYE CARE CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.7391425,-73.79495239,QN48,QN1101,Non-public,NewYork-Presbyterian/Queens,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,HORACE HARDING EXPRESSWAY,16e3a5063ec947ee1a98fed19d71814d,1041072.338,208632.6592,11365,QN48,Auburndale
59-28 174 STREET,59-28,4068870064,4314852,QUEENS,4,0,,411,FRESH MEADOWS,20,141700,141700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NYP/QUEENS TRUDE WEISHAUPT MEMORIAL SATELLITE DIALYSIS CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.73938777,-73.79614512,QN48,QN1101,Non-public,NewYork-Presbyterian/Queens,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,174 STREET,8e17db9730901c7c6a78d0d54a298dae,1040741.604,208721.2462,11365,QN48,Auburndale
59-16 174 STREET,59-16,4068870056,4453783,QUEENS,4,0,,411,FRESH MEADOWS,20,141700,141700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,"NYP/QUEENS DEVELOPMENTAL DISABILITY, NEURO SCIENCE CENTER AND PEDIATRIC ASTHMA CENTER",HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.73984332,-73.79641154,QN48,QN1101,Non-public,NewYork-Presbyterian/Queens,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,174 STREET,9acd36c6c82b177a9b8deb619460704e,1040667.388,208887.0431,11365,QN48,Auburndale
174-11 HORACE HARDING EXPRESSWAY,174-11,4068880008,4148777,QUEENS,4,0,,411,FRESH MEADOWS,20,141700,141700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NYP/QUEENS DENTAL SERVICES CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.73908201,-73.79516546,QN48,QN1101,Non-public,NewYork-Presbyterian/Queens,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,HORACE HARDING EXPRESSWAY,9fc71dcb137e6f46f0b8b92535b6622b,1041013.345,208610.4804,11365,QN48,Auburndale
45-64 FRANCIS LEWIS BOULEVARD,45-64,4055410001,4616477,QUEENS,4,0,,411,BAYSIDE,19,145101,145101,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NORTH QUEENS SURGICAL CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.75487693,-73.7821406,QN48,QN1101,Non-public,"NYEEQASC, LLC",Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,FRANCIS LEWIS BOULEVARD,7645e212c813f0ee704e60c241faafa7,1044608.448,214373.7661,11361,QN48,Auburndale
45-60 FRANCIS LEWIS BOULEVARD,45-60,4055410001,0,QUEENS,4,0,,411,BAYSIDE,19,145101,145101,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CLEARVIEW DIALYSIS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75487693,-73.7821406,QN48,QN1101,Non-public,"Knickerbocker Dialysis, Inc",Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,FRANCIS LEWIS BOULEVARD,77134eada4482f5ad0f81f65f3d7ab4a,1044608.448,214373.7661,11361,QN48,Auburndale
174-11 HORACE HARDING EXPRESSWAY,174-11,4068880008,4148777,QUEENS,4,0,,411,FRESH MEADOWS,20,141700,141700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NYP/QUEENS CARDIAC HEALTH CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.73908201,-73.79516546,QN48,QN1101,Non-public,NewYork-Presbyterian/Queens,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,HORACE HARDING EXPRESSWAY,86777f860ba5034c1833c0a292084517,1041013.345,208610.4804,11365,QN48,Auburndale-
