submission_id,comment_id,name,organization,date,comment_text
14394,14394-24852,Adrienne E. Adams,New York City Council,"September 8, 2022","I am concerned about increases in parking demand within neighborhoods that are underserved by public transportation. The EA notes that although the CBD Tolling Program would result in “small changes in parking demand at transit facilities outside the CBD, corresponding to increased commuter rail and subway ridership,” no mitigation is needed. Chapter 4D, which discusses parking, only looks at neighborhoods where there is easy subway access, such as Flushing, Jamaica and Long Island City. It notes that the offstreet parking facilities in these neighborhoods are already heavily used and their streets are subject to existing regulations that limit long-term parking (alternate side parking regulations) and their being a reliable source of parking. However, the study does not specifically look at the commuter Long Island Railroad stations in eastern Queens – such as in Bellerose, St. Albans, and Douglaston. These stations are not easily accessible by transit and commuters residing in or within proximity to these neighborhoods, including from outside of New York City, who currently drive into Manhattan, are likely instead to drive to these LIRR stations to park-and-ride. I urge the agencies involved in the study to examine the potential impacts on these neighborhoods to determine whether any mitigation is needed to avoid any quality of life issues for persons that live near these stations related to increased traffic. The study also notes that any increase in parking or traffic in areas just north of 60th street in Manhattan will not adversely impact the quality of life for New Yorkers that live in that area. While the authorizing legislation requires a study for 18 months after the program takes effect in the surrounding areas, the implementing agencies should take proactive measures to improve traffic in the areas just north of the CBD before the program takes effect. THE COUNCIL OF THE CITY OF NEW YORK ADRIENNE E. ADAMS SPEAKER CITY HALL NEW YORK, NY 10007 TELEPHONE (212) 788-7210 September 8, 2022 FHWA - NY Division RE: CBDTP Leo W. O'Brien Federal Building 11A Clinton Ave., Suite 719 Albany, NY 12207 Dear Environmental Justice Stakeholders Working Group:"
14394,14394-24850,Adrienne E. Adams,New York City Council,"September 8, 2022","I am writing to express my concerns regarding the Central Business District (CBD) Tolling Program Environmental Assessment (EA) released on August 10, 2022 by the New York State Department of Transportation, the New York City Department of Transportation and the Federal Highway Administration. The EA does not sufficiently account for impacts on environmental justice communities and communities in the outer boroughs who cannot rely on mass transit to reach the CBD. The reality is that too many neighborhoods in New York City, like those in Southeast Queens that I represent, have long been underserved by the public transit system. It leaves them with limited transportation options beyond a reliance on automobiles. This persistent transit inequity is a major concern I share with many of my Council and elected colleagues representing communities in the outer boroughs. Many of these neighborhoods are also those that have historically been subjected to environmental racism. We must confront these realities in any planning process to enact a new tolling scheme."
14394,14394-24851,Adrienne E. Adams,New York City Council,"September 8, 2022","While State law allows residents inside the CBD with an adjusted gross income of less than $60,000 to be eligible for a tax credit in the amount of the tolls paid during the taxable year, there are no measures to accommodate other low-income drivers, particularly those that may not have ready access to the E-Z Pass who typically are not eligible for any discounts under the present cashless tolling program. The Executive Summary of the EA notes that “the adverse effect on low-income drivers associated with the cost of the new toll would constitute a disproportionately high and adverse effect,” yet the study does not mention any efforts to lessen the burden of the CBD Tolling Program costs for these drivers. The EA should consider the potential economic impact of the CBD Tolling Program on lowincome drivers, and propose proactive solutions to reduce the burden."
14394,14394-24853,Adrienne E. Adams,New York City Council,"September 8, 2022","The CBD Tolling Program is also likely to significantly impact the taxi and for-hire vehicle industry. At a time when drivers are already struggling to make ends meet and recover to pre-COVID-19 levels of business, the economic impact of a CBD Tolling Program could potentially be catastrophic to the industry. While the EA proposes some mitigation measures, such as working to connect drivers with licensing, training and job placement with the MTA or its vendors, and to allow the drivers to use vehicles to provide paratransit trips, the responsible agencies must take steps to prevent potential job displacement in the first place. The EA also found that the CBD Tolling Program would result in increased commercial truck traffic in both the Bronx and Staten Island, but determined that no air quality mitigation is needed. The EA estimates that air pollutants will increase in the Bronx and Staten Island as a result of the program, but only provides that agencies will monitor particulate matter to determine whether changes in air pollution can be attributed to the changes in traffic occurring after implementation of the CBD Tolling Program. Increases in truck traffic are of particular concern in communities near the Cross Bronx Expressway and RFK Bridge that already see high volumes of truck traffic and lack access to green space. The agencies involved in the project should undertake proactive mitigation measures to improve air quality in these areas. Residents in these areas already suffer from disproportionately higher rates of asthma and other respiratory issues, and a further increase in truck traffic will only exacerbate the problem. Any eventual CBD Tolling Program should not increase environmental harm for communities that have already been forced to disproportionately endure them."
14394,14394-24855,Adrienne E. Adams,New York City Council,"September 8, 2022","There are a number of outstanding environmental and economic concerns that need to be addressed. While the program has some admirable goals to positively impact a number of residents throughout the city, it is critical that the agencies involved do not ignore the potential adverse impacts on low-income outer borough residents, especially those in environmental justice communities. Thank you for the opportunity to provide comment on the Environmental Assessment for the CBD Tolling Program. Sincerely, ADRIENNE E. ADAMS Speaker"
12724,12724-25077,Steve Alpert,Suffern Village Trustee,"September 1, 2022","I live in Rockland County, NY and serve as a Village Trustee in Suffern, NY. The MTA has continuously been digging deeper and deeper into area residents’ pockets - A majority of whom do not even utilize the very services that the MTA is tasked with providing! Besides the highest cost commuter toll bridges in the country (currently between $13.10 and $20.34 round trip per car for MTA crossings like the Whitestone Bridge, Midtown Tunnel, and Battery Tunnel), among other things, the MTA also collects a $50 surcharge with every downstate NY State car registration renewal; they also collect a percentage of “Mortgage Recording Tax” on area home sales ($1,500 on a $500,000 mortgage), they also collect a 3/8% surcharge on top of all sales tax on all our purchases, and they even get an “income tax surcharge” within the 12-County MCTD area, called the “Metropolitan Commuter Transportation Mobility Tax” (MCTMT). Every few years, the MTA comes back to the State Government begging for another revenue stream….and the reason is simple: HUGE CRUSHING DEBT. The MTA has borrowed more money than dozens of entire countries - combined - - over $60 BILLION DOLLARS! The debt service on the outstanding amount - currently about $48 BILLION, is $3.2 Billion dollars per year according to what is posted on MTA’s website. This amount has doubled in just the last decade, leading the MTA to keep searching for the ever more revenue streams from the general public. Think about that: Before the MTA even uses a dime to provide the service they are actually responsible for, they first have to pay out billions of dollars in interest and principal each year! (Contrast this with prior to 1971, before they took on crushing debt, when the small 25 cent bridge tolls provided a *surplus* used to build additional bridges). Unfortunately, our State Government continues to allow the MTA to increase its borrowing, which has led to the current fiasco."
12724,12724-25078,Steve Alpert,Suffern Village Trustee,"September 1, 2022","Now, the MTA wants to institute so-called “Congestion Pricing”, charging drivers an additional $23 for the privilege of entering Manhattan south of 60th Street. They “claim” that this will reduce traffic in New York City."
12724,12724-25079,Steve Alpert,Suffern Village Trustee,"September 1, 2022","But think about it: the majority of drivers in New York already pay heavy tolls (as much as $20.34 round trip), not to mention the cost of parking in New York, typically about $50-$60 these days, if you include the current astronomical 18.375% parking tax. Clearly, cost is not a deterrent for many drivers who are well-heeled, and choose to drive every day in New York City. But in fairness, it might deter the occasional “middle class” visitor who was thinking about an occasional night out to visit a club, see a band, or have dinner with friends. This proposal will likely harm businesses that cater to middle class customers, but yet it will have virtually no effect on the majority of daytime traffic in Manhattan."
12724,12724-25080,Steve Alpert,Suffern Village Trustee,"September 1, 2022","Make no mistake. “Congestion Pricing”, which would even be in effect all weekend, is just another thinly veiled attempt to take more of residents’ money, to fund reckless debt floated by the MTA. A debt that has doubled in just the last 12 years, with virtually no improvement in service to show for it. If the MTA is granted the additional revenue stream for so-called “congestion pricing”, rest assured that this Public Authority will also waste this new revenue stream, just as they have squandered every other revenue stream they currently receive; of course having obtained each of the other revenue streams they currently get, by declaring that it is “absolutely needed”. The MTA operates without any real public scrutiny, and they have been granted one revenue stream after another, each time squandering the additional funding by further increasing their debt. This repeating cycle must stop! Say NO to congestion pricing!"
15153,15153-26032,Joann Ariola,New York City Council,"September 9, 2022","THE COUNCIL DISTRICT OFFICE OF 2955 VETERANS ROAD WEST, 2E STATEN ISLAND, NY 10309 PHONE: (718) 984-5151 FAX: (718) 948-1592 THE CITY OF NEW YORK JOSEPH C. BORELLI MINORITY LEADER sanguine conclusions, since London is now the most congested city in the world, according to INRIX, a leading worldwide traffic analytics firm (see Inrix Global Traffic Scorecard, 2021). Certainly, we should be skeptical if we are copying a congestion pricing program that, after two decades, has resulted in far worse traffic than New York City currently experiences. CITY HALL 250 BROADWAY, SUITE 1551 NEW YORK, NY 10007 PHONE: (212) 788-7159 Borelli@council.nyc.gov COUNCIL MEMBER, 51ST DISTRICT, STATEN ISLAND The Potential Benefits of the CBD Tolling Program are Being Oversold"
